channelTitle,videoId,videoTitle,yogaSubject,YogaChallenge,release_date,release_time,duration,viewCount,likeCount,commentCount,defaultLAudioLanguage,videoCategoryLabel
Yoga with Kassandra,gFX__Db_Wj4,Simple & Minimalist Morning Routine For A Positive Productive Day,Morning Yoga,TRUE,2017-08-29,09:27:06,12:33,20234,555,69,en,Howto & Style
Yoga with Kassandra,Oz-JafPSUAY,Twist and Energize Yoga Detox - 30 min Vinyasa Flow,Vinyasa Flow Yoga,FALSE,2017-08-24,17:35:18,27:16,370593,7526,275,en,Howto & Style
Yoga with Kassandra,Bd4-ktpwiBA,1 Hour Wheel Pose Vinyasa Yoga - Backbend Yoga Flow,Vinyasa Flow Yoga,FALSE,2017-08-17,13:09:25,56:06,81398,1548,92,en,Howto & Style
Yoga with Kassandra,uA6M3MA76W0,Yin Yoga with Yoga Wheel - Yoga Wheel Backbends & Hip Flexibility,Yin Yoga,FALSE,2017-08-10,13:55:44,39:44,115489,2103,139,en,Howto & Style
Yoga with Kassandra,bELfB_HUhqc,30 min Morning Yoga - Rise & Shine Power Yoga Flow,Morning Yoga,FALSE,2017-07-27,13:45:07,36:03,512698,12755,1101,en,Howto & Style
Yoga with Kassandra,UB97HG7SJQ4,Elephant Trunk Yoga Pose Tutorial,Tutorial,FALSE,2017-07-24,12:14:37,10:30,37239,624,25,en,Howto & Style
Yoga with Kassandra,xEoaoes9f7k,Crow Pose Tutorial - How To Do Crow Pose For Beginners Bakasana,Beginner Yoga,FALSE,2017-07-20,11:55:57,11:03,343549,5535,200,en,Howto & Style
Yoga with Kassandra,kc2tpevizXE,Best Self Help Books - Books That Changed My Life,Other,FALSE,2017-07-18,13:00:03,28:12,19399,474,37,en,Howto & Style
Yoga with Kassandra,7saBbAqsoOM,90 min Full Body Yin Yoga Deep Stretch for Flexibility,Yin Yoga,FALSE,2017-07-13,14:49:19,31:57,1975480,12520,603,en,Howto & Style
Yoga with Kassandra,rVzCLW1uRi0,Overcome Your Money Blocks with Denise Duffield - SOUL Purpose (ep. 009),Tutorial,FALSE,2017-07-10,13:49:01,27:53,3803,91,10,en,Howto & Style
Yoga with Kassandra,GavsGsYJznM,Yin Yoga for Side Splits - Middle Splits Yin Inner Groin & Hamstrings,Yin Yoga,FALSE,2017-07-06,12:00:55,49:21,3348921,16481,432,en,Howto & Style
Yoga with Kassandra,KWvIpviounE,Intermediate Yoga Class - Power Vinyasa Flow Yoga,Intermediate Yoga,FALSE,2017-06-30,17:00:14,40:48,360634,6185,269,en,Howto & Style
Yoga with Kassandra,YCY6Gc8lbzg,"True Health, Youth Culture & Business with SISSFiT - SOUL Purpose Series (ep. 008)",Tutorial,FALSE,2017-06-27,14:35:45,46:34,1982,27,8,en,Howto & Style
Yoga with Kassandra,007wRUnd7c4,1 Hour Beginner Yoga - Sun Salutations & Standing Poses,Beginner Yoga,FALSE,2017-06-22,13:27:36,56:54,166788,2610,127,en,Howto & Style
Yoga with Kassandra,vlT3GSPUEGo,10 min HIIT Fat Burning Cardio Workout - Quick Intense Workout for Weight Loss,Power Yoga,FALSE,2017-06-15,15:50:31,11:49,51927,1033,48,en,Howto & Style
Yoga with Kassandra,mrSvULtPCw8,Fallen Angel Pose Tutorial - Step by Step Arm Balance Demonstration,Tutorial,FALSE,2017-06-13,17:27:35,07:50,109313,2190,88,en,Howto & Style
Yoga with Kassandra,ESs-nMIpQpY,"10 min Yoga for a Confidence Boost - Erin Motz ""Bad Yogi"" Special Guest",Power Yoga,FALSE,2017-06-08,13:12:17,10:49,31576,942,28,en,Howto & Style
Yoga with Kassandra,P2WXMNnFKfg,May Favorites - My Favorite Things For The Month of May 2016,Other,FALSE,2017-06-05,21:58:36,13:49,2496,58,11,en,Howto & Style
Yoga with Kassandra,WNILMoALHNQ,Yin Yoga for Runners - Hip Opening Yoga Stretches,Yin Yoga,FALSE,2017-06-01,14:53:52,51:49,169772,3224,130,en,Howto & Style
Yoga with Kassandra,HvK530VrQ9s,"🔥 BEST BOOTY WORKOUT 🔥 At Home Booty Circuit, No Equipment Needed!",Power Yoga,FALSE,2017-05-29,17:01:42,17:01,84500,1674,172,en,Howto & Style
Yoga with Kassandra,aKilk7tt47M,Iron Yoga - Power Yoga with Weights with Sean Vigue Fitness,Power Yoga,FALSE,2017-05-25,13:25:39,36:36,27430,517,64,en,Howto & Style
Yoga with Kassandra,93ROm0emB_Q,Scarcity to Abundance Mindset - What It Is & How to Make the Shift,Other,FALSE,2017-05-22,16:06:43,27:27,30466,1278,172,en,Howto & Style
Yoga with Kassandra,qbWEkBdSLog,"Yin Yoga for Heart & Lung Meridian - Yin Yoga for Chest, Shoulders & Upper Back",Yin Yoga,FALSE,2017-05-18,14:17:58,44:10,233486,4653,198,en,Howto & Style
Yoga with Kassandra,agAEhNmtAFg,April Favorites - My Favorite Things!,Other,FALSE,2017-05-15,18:43:46,10:37,2554,51,6,en,Howto & Style
Yoga with Kassandra,No2u_Dq_9ho,30 min Beginner Yoga - Full Body Yoga for Strength and Flexibility,Beginner Yoga,FALSE,2017-05-11,13:41:19,30:44,2527548,27581,813,en,Howto & Style
Yoga with Kassandra,wVSkYKj26qg,Easy Guided Meditation for Beginners - 15 min Meditation for Clarity & Relaxation,Beginner Yoga,FALSE,2017-05-09,16:09:51,15:22,1041412,17990,660,en,Howto & Style
Yoga with Kassandra,IvVX4Gxkp7A,45 min Slow Flow Yoga - Beginner Full Body Vinyasa Yoga,Beginner Yoga,FALSE,2017-05-04,12:08:37,45:02,658517,8526,371,en,Howto & Style
Yoga with Kassandra,6NhtpBoJgTI,1 Hour Yoga for Hamstring Flexibility - Yoga for Splits,Vinyasa Flow Yoga,FALSE,2017-04-27,13:59:56,54:42,127461,2414,112,en,Howto & Style
Yoga with Kassandra,-MGIdMEyZhY,Yin Yoga Backbends - Yin for Spine Flexibility & Open Shoulders,Yin Yoga,FALSE,2017-04-13,13:31:49,47:30,106001,2308,158,en,Howto & Style
Yoga with Kassandra,fBoKyqe45S0,"March Favorites - Beauty, Yoga & Lifestyle Products I Love!",Other,FALSE,2017-04-10,14:31:38,18:25,3722,114,36,en,Howto & Style
Yoga with Kassandra,-6SnkN0jtME,45 min Yoga Side Body Stretch,Vinyasa Flow Yoga,FALSE,2017-04-07,14:00:30,45:36,114037,2565,171,en,Howto & Style
Yoga with Kassandra,Jhh2WX-Ki7I,"30 min Upper Body TLC Yoga -Yoga Stretches for Chest, Shoulders & Back",Vinyasa Flow Yoga,FALSE,2017-03-30,12:28:15,31:27,293301,5729,258,en,Howto & Style
Yoga with Kassandra,zVbkDjkevZ4,1 Hour Yin Yoga for Hip Flexibility - Yin Yoga Hips & Hamstrings Deep Stretch,Yin Yoga,FALSE,2017-03-23,21:51:37,00:54,233556,4227,233,en,Howto & Style
Yoga with Kassandra,cazhT03WkT4,20 min Pre-Workout Yoga Warm Up,Vinyasa Flow Yoga,FALSE,2017-03-16,13:14:47,20:12,119819,2273,44,en,Howto & Style
Yoga with Kassandra,IMA8t6ThTL8,"Women in Business, Community & Writing Books with Carrie Green - SOUL Purpose Series (ep. 008)",Tutorial,FALSE,2017-03-12,15:38:57,35:35,1863,43,7,en,Howto & Style
Yoga with Kassandra,x8MZkG6xoBE,Post Workout Yoga Cooldown - Full Body Stretch & Feel Good Yoga Flow,Vinyasa Flow Yoga,FALSE,2017-03-09,17:49:08,21:46,515956,8953,273,en,Howto & Style
Yoga with Kassandra,CUi5Jf_LC-I,1 Hour Intention Setting Morning Yoga Class,Morning Yoga,FALSE,2017-03-02,16:47:15,55:15,247227,4454,229,en,Howto & Style
Yoga with Kassandra,s53D1J_Ef2g,The Business of Yoga with Ashley Turner - SOUL Purpose Series (ep. 007),Tutorial,FALSE,2017-02-27,16:24:35,52:01,3448,58,20,en,Howto & Style
Yoga with Kassandra,KfTBVVNCH5c,"Tapping Into the Feminine - SOUL Purpose with Rochelle Schieck, founder of Qoya (Ep. 006)",Tutorial,FALSE,2017-02-23,13:17:44,49:28,3475,77,13,en,Howto & Style
Yoga with Kassandra,TcF2TSuQEn4,45 min Yin Yoga for Sleep - Beginner Beddtime Yin Yoga,Beginner Yoga,FALSE,2017-02-16,16:39:23,47:39,405419,6160,183,en,Howto & Style
Yoga with Kassandra,8MaEIm4lRlw,The Mind Body Connection - SOUL Purpose with Dr. Mike Lane (ep. 005),Tutorial,FALSE,2017-02-06,17:06:11,56:10,2729,56,5,en,Howto & Style
Yoga with Kassandra,5QjZR3muBJU,"30 min Yin for Spleen & Stomach Meridians - Inner Thigh, Back & Sidebend Yin Yoga",Yin Yoga,FALSE,2017-02-02,22:25:11,30:12,139435,2578,104,en,Howto & Style
